

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.008  000.008: --- NVIM STARTING ---
000.091  000.083: event init
000.193  000.102: early init
000.291  000.098: locale set
000.360  000.069: init first window
000.834  000.474: inits 1
000.862  000.028: window checked
000.867  000.005: parsing arguments
001.788  000.174  000.174: require('vim.shared')
001.975  000.070  000.070: require('vim._meta')
001.980  000.181  000.111: require('vim._editor')
001.984  000.411  000.056: require('vim._init_packages')
001.991  000.713: init lua interpreter
002.129  000.138: expanding arguments
002.193  000.064: inits 2
002.781  000.589: init highlight
002.786  000.005: waiting for UI
003.075  000.288: done waiting for UI
003.091  000.017: clear screen
003.412  000.321: init default mappings & autocommands
004.724  000.108  000.108: sourcing /usr/share/nvim/runtime/ftplugin.vim
004.842  000.059  000.059: sourcing /usr/share/nvim/runtime/indent.vim
004.987  000.059  000.059: sourcing $VIM/sysinit.vim
006.843  001.758  001.758: require('stankovictab.settings')
007.392  000.014  000.014: require('vim.keymap')
008.667  001.243  001.243: require('lazy')
008.767  000.042  000.042: require('ffi')
008.904  000.129  000.129: require('vim.loader')
009.036  000.049  000.049: require('vim.fs')
009.326  000.385  000.336: require('lazy.stats')
009.788  000.425  000.425: require('lazy.core.util')
010.009  000.213  000.213: require('lazy.core.config')
010.438  000.125  000.125: require('lazy.core.handler')
010.597  000.151  000.151: require('lazy.core.plugin')
010.613  000.598  000.321: require('lazy.core.loader')
013.477  000.173  000.173: require('lazy.core.handler.keys')
013.701  000.115  000.115: require('lazy.core.handler.event')
013.709  000.218  000.103: require('lazy.core.handler.ft')
013.813  000.096  000.096: require('lazy.core.handler.cmd')
015.050  000.676  000.676: sourcing /usr/share/nvim/runtime/filetype.lua
017.286  000.248  000.248: require('nvim-autopairs._log')
017.642  000.343  000.343: require('nvim-autopairs.utils')
017.902  000.068  000.068: require('nvim-autopairs.conds')
017.910  000.153  000.085: require('nvim-autopairs.rule')
017.914  000.267  000.114: require('nvim-autopairs.rules.basic')
017.925  001.934  001.075: require('nvim-autopairs')
018.920  000.074  000.074: sourcing /home/stankovictab/.local/share/nvim/lazy/nvim-web-devicons/plugin/nvim-web-devicons.vim
020.022  000.081  000.081: require('nvim-tree.notify')
020.031  000.181  000.100: require('nvim-tree.events')
020.262  000.067  000.067: require('nvim-tree.log')
020.493  000.089  000.089: require('nvim-tree.iterators.node-iterator')
020.539  000.273  000.184: require('nvim-tree.utils')
020.686  000.144  000.144: require('nvim-tree.git.utils')
020.857  000.165  000.165: require('nvim-tree.git.runner')
020.995  000.132  000.132: require('nvim-tree.watcher')
021.086  000.087  000.087: require('nvim-tree.explorer.node')
021.100  000.998  000.130: require('nvim-tree.git')
021.203  000.101  000.101: require('nvim-tree.explorer.watch')
021.362  000.080  000.080: require('nvim-tree.explorer.node-builders')
021.455  000.089  000.089: require('nvim-tree.explorer.sorters')
021.540  000.081  000.081: require('nvim-tree.explorer.filters')
021.924  000.293  000.293: require('nvim-tree.view')
021.943  000.400  000.106: require('nvim-tree.live-filter')
021.952  000.745  000.095: require('nvim-tree.explorer.explore')
